Id,Interview,Prediction
5," Do you hear saxophones when you're playing? Do you think saxophone lines of like, you know, sort of like Coltrane?  __EOS__ No, but I think the breathing thing kind of went in there and never stopped. So I tend to take a breath, taking - playing guitar. Whereas, when you hear a lot of rock guitars, they're not really breathing, they're just, there's no pause going on. They're just - they're very concerned if they're not playing. Even if they leave a bar empty for the drums to go by they seem to, you know, especially in the last 30 years, where you have this kind of speed guitar player who just doesn't stop.  __EOS__ You seemed impressed with the improvisatory nature of jazz? __EOS__ Yeah. To me it was a kind of classical music that you didn't write down. You just stepped up and played, and that was really appealing to me. ",2
,,
6," They had some pretty strong ideas. They had some pretty strong ideas about their own faith and their own virtue, and the virtue of their own faith. So these people who founded Massachusetts, they were seeking religious liberty, and they were complaining about the persecutions they suffered in England. And of course, the first thing they do when they get to Massachusetts is persecute others and persecute their religions.__EOS__ So, so many settlers in the colonies were Protestants from England. How did religion come into play in the justification of the Revolutionary War, which was going to be fought against fellow Protestants?__EOS__ That's a great question, and historians still argue a lot about religion and the American Revolution. I argue in the book that religion provided some of the core ideas for a lot of the people who would become founders and certainly the people who fought against British rule.__EOS__ How do you think the idea of separation of church and state has evolved over time?",0
,,
7,"  I have to. And I'm not gonna.__EOS__  Well, we got to. Otherwise we're dead. They're just going to have to go back down the same way they come. Come on.__EOS__  Just one clear shot. That's all I want.__EOS__  Come on.",3
,,
8," Ugh.__EOS__ What happened? When was that?__EOS__ I think I was like 20 years old. It was in Florida. It was the second season. I worked at this restaurant and I remember watching the first season and being like, well, I'll go try out for ""American Idol."" Why not, you know? My dad and I drove to Miami - I lived in St. Petersburg at the time. And we stood in line for I think 27 hours.__EOS__ After three notes.",2
,,
9," And that's the movement which has most to do with hell and with judgment and the terror. And he has but a few lines from that and then he moves on. __EOS__ The other interesting thing that scholars would debate about is in one text, the original text, in Latin reads  Deliver the souls of all faithful departed. And Faure eliminates the word faithful, so deliver the souls of all departed, somewhat say that wasn't an oversight. He meant to make a statement by that. __EOS__ That certainly the statement the church means to make. November 11th is Veterans Day here in the U.S. and celebrated at Episcopal Churches around the world as a day to remember the casualties of war. __EOS__ And during the Falkland's War when Mrs. Thatcher want a triumphful service, it wasn't a ""Requiem"" but the dean of St. Paul's Cathedral, Alan Webster, and the Archbishop of Canterbury, Robert Runcie, insisted on praying for all the dead - the Argentine dead as well as the British. ",2
,,
10," They continued to use it in their music for ""We are the Robots"" and ""The Man Machine."" And it sounded perfectly natural in the context of Kraftwerk because they were doing purely electronic music. __EOS__ We're charging our battery and now we're full of energy. We are the robots. We are the robots. We are... __EOS__ You know, it seems to me that from what you're saying, the use of the vocoder started with experimental music - maybe avant-garde music - but then eventually it moved into mainstream with hip-hop, right? __EOS__ It became the voice of electro-funk hip-hop in the early '80s. In particular, Michael Jonzun - he's a disco musician from Boston - recorded perhaps the first entire hip-hop vocoder album, ""Lost in Space,"" which was released in 1983. And the song called ""Pack Jam"" was inspired by his intent to destroy all Pacman, or Pacman machines, because the videogame made him dizzy. ",2
,,
11," Wild. Wild. __EOS__ There's all these theatrics and dirty like lurching sound. __EOS__ I have an attitude towards these dirty sounds and the grotesque in my shows, and I like to scare people a little, but then to make them feel safe again, and let them go home hugging each other like friends. __EOS__ What do the theatrics add to it like in this song, ""Medusa Cha Cha Cha""? ",2
,,
12," It was based on - at least in part on a couple of people that we knew growing up. I don't want to say who for obvious reasons. __EOS__ But we added a lot of horrible warm empathy... __EOS__ ...which Fred Melamed, the actor, certainly made hay with. __EOS__ So what did they do that made them insufferable? ",1
,,
13," Okay. __EOS__ And Dr. Nuland, thank you for your time today. __EOS__ Oh, what a pleasure. __EOS__ Sherwin Nuland is the author of, most recently, ""The Art of Aging  A Doctor's Prescription for Well-Being."" He joined us today from our bureau in Chicago. You're listening to TALK OF THE NATION from NPR News.  Transcript provided by NPR, Copyright NPR.",0
,,
14," I thought one of the most unusual stories that you heard was told by the mother who sold her child's Social Security number.__EOS__ Some women are able to raise money by letting friends or relatives use their children's Social Security numbers to claim tax credits, and this woman, her sister, I think it was, had promised her $3,000 - had promised her a share of the $3,000 tax credit if she could lend her the Social Security numbers of the kids, and the woman did it but was complaining she didn't get the full sum that she was owed.__EOS__ One of the things that welfare reform was supposed to do was promote a work ethic. Can you evaluate whether that has succeeded?__EOS__ Well, I would say it has succeeded, because low-income since mothers went to work in much greater shares than they ever had before. It was partly the great economy of the late 1990s. It was partly the provision of extra benefits like tax credits and child care that helped people take low-wage jobs. But certainly when you have less access to cash aid, it did prompt more people to go to work.",3
,,
15," Yeah, it was and it was curated in a peculiar way. __EOS__ But, you know, actually you sort of retrospect but, you know, if you look back on it, it's really interesting. __EOS__ There was this guy in Minneapolis named Mel Jazz who had a matinee movie, it was the afternoon movie, and it was very different than now. Now you have all these choices but here as Joel says, he was the curator. If you wanted to watch a movies you watched Mel Jazz had programmed. And he would have, you know, Hercules movies, but he would also have, you know, ""8ã®´."" He bought probably the Joel Levine catalog, so he had all the Italian movies. So that was kind of our high low introduction to movies. __EOS__ That's funny. And did he talk during the movies? ",1
,,
16," Really it was a fantastic week. I was feeling really, really good. It could have come in another moment and it would have been very painful and I would have been suffering a lot. Because I really - I put a lot of heart in this CD. It's a very important project for me. __EOS__   __EOS__ The whole CD follows a certain projection. Not only in terms of the songs that you're singing, the titles that you've chosen, but in the way you sing them. __EOS__ Yes, absolutely. And the order was very important. It's about really the momentum of the characters in the love story in the beginning of the CD. As I say it's the construction of the crystal castle. Then in the middle of CD tragedy pops up and it talks about suffering and it talks about betrayal and it talks about all these terrible things that could happen in a love story. ",2
,,
17," And before long, he was a lookout. __EOS__ That's exactly right. My mother always says, she says, you know, kids need to think that you care before they care what you think. What Wes saw from the streets and from, you know, the kids on the corner and the kids who were dealing was he saw kids who he felt at that time genuinely cared about him and genuinely cared about his future. And he saw what they had and the material items that they had and how cool they looked, and then you see these kids who are willing to take you in and embrace you as family. __EOS__ Now, we should say that you also had run-ins with the law yourself, and you flirted with the idea of walking across that line and leading a life that could ultimately have led to prison. But when you were arrested for spraying graffiti on a wall, you immediately knew this is not someplace I want to be. And you were with someone who had a very different reaction. He almost dealt with the cops like, come on, bring it on. I'm tougher than you are. __EOS__ Thats exactly right, and you know, I think about it, and it is almost embarrassing now to think about the fact that I was, you know, here I was with, you know, with a tremendous mother and, you know, support from family but just this draw of the streets and this challenge that I was personally having internally about what does it mean to be a man, was really pulling at me. So it manifested itself in things like vandalism and getting into fights. ",0
,,
18," Ooh. Well, she's growing up in a household where she can certainly pick up the fundamentals. __EOS__ Absolutely. __EOS__ You know about Twitter and Facebook? __EOS__ I've only heard about Twitter, and I know about Facebook because my wife just got me a Facebook page, and at some point during this tour that I'm on,  she's going to show me how to do it myself. ",2
,,
19," Well, the psychology of fans, the sport itself - it's the same psychology that applies to any group membership. People are drawn to their groups, they insert themselves in the groups and those groups serve very fundamental, interpersonal and psychological needs. So even a team - you're not part of that group. You're not playing on that group. It's true. You're just a spectator of their performance. Still, their outcome is your outcome. You are psychologically a part of that group. And when it fails, you have failed.__EOS__ Chris says that he talked to one of his good friends who was watching the game at home and he said he even had physical reactions to the game. Let's play that clip.__EOS__ He just wasn't handling it well and transformed from someone who enjoyed the game a lot to someone who just was kind of incapacitated by how anxious he was feeling during the train wreck as everything kind of came off the rails. Watching, he was, like, physically uncomfortable to the point that he had to get up and leave his apartment. And, you know, he said even his wife recognized that there was a marked change in his demeanor. I don't know if she used the word terrifying or concerning or - but it was concerning enough that she noticed it and encouraged him to, you know, leave the TV behind.__EOS__ Now, I don't know this gentleman, but I do know that, in this area where I live, in the Washington, D.C. area, people say that they notice a marked change in the atmosphere in the local metropolitan area depending on whether the local football team, the Redskins, win or lose. Is that typical?",3
,,
20," Yeah, that's a good way of - I mean, look, if you're a tormented Christian who's frustrated with the God who will not answer, be happy that he doesn't answer you because this is what happens when the God you worship answers you sometimes. __EOS__ There was that Onion story years ago. __EOS__ Oh, yeah. __EOS__ Which you edited. Yeah, go ahead. ",1
,,
21,"  And I've been waking in the morning just like every other day, and just like every boring blues song, I get swallowed by the pain. And so I fumble for your figure in the darkness just to make it go away...__EOS__ It is a skill, though, to be able to write songs that make people feel like they understand some kind of intimate part of you, yet be able to keep something for yourself.__EOS__ Yeah. Well, I mean, to me there are three parts to art - I mean, well, certainly to the art that I make. There's catharsis - which is, you know, dealing with the downsides of life. Then, of course, there's got to be empathy as well 'cause otherwise, it's just me reading out pages of my diary, which is embarrassing. You know, it's got to be presented in a way...__EOS__ Which could also be interesting.",2
,,
22," Bobby Timmons played piano. When we finished a tune and before I made an announcement on the mic, he'd play this little lick or something. __EOS__ Usually, if you don't like something, you walk away from it. If you listen to a recording, you take the tone arm off, you push the button. If you're in a club, you walk out. But if it's you you don't like, it's a little strange, you know. __EOS__ Frankly, we didn't expect any kindÉ_› __EOS__ In fact, I thought I wouldn't play again because my interest now was in the writing. And then I got the itch. I hadn't played in seven or eight years. It was like getting over a stroke, you know. Everything had gone - the armature was gone, cobwebs in the brain. It took me 10 years to get comfortable again. ",2
,,
23," Well, and I think a lot of times the depth with which Simon writes will leave people kind of feeling that it is kind of haunting and that he is kind of dark. I think to me, he's always been more of a novelist, almost, than a songwriter. He's just got a great knack for developing complex characters and showing you some sort of internal or external struggle. And Simon has kind of always been important to Omaha but he was one of the first guys in the late 80s and early 90s who really just kind of came into these open mike nights and painted with his own brush. And it was so powerful that I think he really, really influenced some of the younger songwriters who are now making a name for Omaha. __EOS__ One of those songwriters, perhaps the best known, is Conor Oberst. The 20-something fronts the indie rock band, Bright Eyes, and has been called a foxy young Bob Dylan by Rolling Stone. Although Oberst has packed up and moved to New York, his record label, Saddle Creek, is based solidly in Omaha. But there's another sound coming out of this city that doesn't involved any singers  jazz. One album, Fractured Intuition, was recently released by Omaha musicians Kevin Pike and John Kotchian. __EOS__ I think Kevin and John are unique in that they're kind of a part of this younger crowd, where you maybe would expect them to be out in a garage wearing a flannel shirt, screaming, but they chose to really discipline themselves and study jazz and have just done some amazing stuff with it. __EOS__ Is there much of a jazz scene there in Omaha? ",2
,,
24,"  You will not cry or whine or laugh or giggle or sneeze or burp or fart. So no, no, no annoying sounds. Right? __EOS__ Does this count as annoying? __EOS__ The main character is called Gru, and the actor who provides his voice is TV and movie star Steve Carell. He's in our New York studios. Welcome to the program. __EOS__ Thank you very much. ",1
,,
25," That's whyÉ_› __EOS__ É_›but we both are tongue-rollers and we both have attached earlobes, so that was - it was kind of my little scientific experiment. And then, it was interesting as we did find, as you've said, the similar manners is we both just stipulate a lot when we talk, we're both very animated and expressive, we're both - we both kind of mock-type while we speak, often as we're thinking things sometimes. __EOS__ Which is an odd thought, but it turned out, again, uncanny similarities. You both suffered from depression in college. You both took up very broadly similar careers; both interested in the same kinds of movies. Elyse, you were studying to be a film director. Paula Bernstein, you write about film. You've found out later you could have run into each other in the same movie theater in New York - the Angelika. __EOS__ It is true. ",0
,,
26," Yeah - well one, ""Pink Flamingos,"" which was basically about the filthiest people alive, and they were. __EOS__ And I read that you've dedicated the film ""Female Trouble"" to Tex Watson, who was really one of the, you know... __EOS__ Well, yeah, and that was really irresponsible, and I admit that. This chapter is as much of how I've changed, you know, through this. Charles Watson is basically who killed every one of the victims. He was Manson's best piece of work ever. But I'm not here to stick up for any of them but for Leslie. I'm not sure that all of them didn't have the same thing happen to them. They were controlled by a madman. __EOS__ Why do you think you were so fascinated with the Manson case and a lot of other cases where it seems you do have a real interest in crime? ",0
,,
27," Right now, we're driving south. We're going to what we call the south place. __EOS__ This is where Craig's great-great-grandparents - or my kid's great-great-grandparents homesteaded. And on the horizon is lots of houses that weren't here five years ago, and they just steadily creep north. __EOS__ They all look the same. There's nothing different about them. __EOS__ We like on a farm that, when I married my husband, was three miles north of Ankeny, which is a suburb that's just north of Des Moines. We are now surrounded on three sides of our farm with subdivisions. Our neighbors to the south sold for $23,000 an acre, and we have a neighbor to the east of us that sold for $45,800 an acre, I think. He got a dollar a square foot. We own, our family - not just Craig and I, but family members - own about 800 acres. And some people think I should cash in my chips and become a millionaire, but I don't know that many rich people that are happy. And my kids are pretty well grounded in agriculture, and they want to have a future here. And as long they want to do it, I will be here to make sure that the city honors the boundaries that - around this farm. This is a farm, and it's going to remain a farm. ",3
,,
28," Yes. That's all I did. The first thing before we started shooting, I said to Murray, I said, well, the first thing that comes to mind is, I'm not a very attractive man, nor have I ever been. And if I looked like this as a woman, I would have a lot of trouble.__EOS__ Did it make you rethink the kind of woman you were attracted to after thinking of yourself as an unattractive woman?__EOS__ Say again?__EOS__ OK. So many men, even if they think they're not attractive, really feel this desire that they have to, you know, be a partner with a beautiful woman.",1
,,
29," Yeah. But in the same time, they really want African expression, even they need more electrical sound, you know, a keyboard, electrical guitar, drums, but they really prefer the African expression, and it make me crazy. And live here, I think people are waiting for something more real, more traditional. And, yeah, I can do both, but it make me just crazy. __EOS__ Well, thank you for taking the time to talk to us. __EOS__ Thank you so much. __EOS__ Youssou N'Dour's new album is called ""Rokku Mi Rokka,"" or ""Give and Take."" ",2
,,
30," He said that I said I've written about it for Newsweek magazine several times. __EOS__ I'm going to need someone who speaks English. __EOS__ The first thing to know about Iran is that it's not evil. Iranians and Americans, they have much more in common than they have different. __EOS__ But what do I have in common with you? ",3
,,
31," It has helped me a lot in these 10 years to stay focused and trying to grasp for a higher ground because of the love that people have shown to him and to me. It gives me a sense of responsibility to those people. __EOS__ Since our conversation with Afeni Shakur, we've learned she's had to postpone her trip to South Africa and reportedly plans to spread her son's ashes in Soweto next year. __EOS__  When I was young, me and my mama  17 years old, kicked out on the street. Though back at the time I'd never see her face. Ain't a woman alive that could take my mama's place. Suspended from school, scared to go home. I was a fool with the big boys, breaking all the rule. Shed tears with my baby sister. Over these years we was  the little kids. And even though we had different daddies, the same drama. When things went wrong, we blamed mama. I reminisce on the stress I caused. It was hell hugging on my mama from a jail cell É_› __EOS__ Coming up, a new study says Americans pay a higher price for dropping out of school than people in other countries, and there's no place like home. That's because where you live can affect how long you live. We'll discuss these and other topics on our Roundtable next.  Transcript provided by NPR, Copyright NPR.",2
,,
32,"  Yes, that's Electric Light Orchestra's classic tune, and its title      says a lot of what a well-crafted song can do.  For nine years now,      Fountains of Wayne has made a habit of creating or re-creating melodies      that simply get stuck in one's head, and that's not a complaint. __EOS__   No, I can't get it out of my head.  No, I      can't get it out of my head. __EOS__  Ashley Kahn is author of the book ""A Love Supreme   The      Story of John Coltrane's Signature Album.""  Fountains of Wayne's new CD,      ""Out of State Plates,"" has just been released. __EOS__  And I'm Renee Montagne.  Transcript provided by NPR, Copyright NPR.",2
,,
33," But we are Zimbabweans. __EOS__ We don't care whether you're Indian, Malawi, Kalanga, whatnot. We just don't want you in particular. It will never be a colony again, this country. __EOS__ I realize that, Mr. Chamada. __EOS__ It will never be a colony. ",1
,,
34," Our Tiny Desk Concerts with The Zombies is about to begin, so please head on over to the skinny end of the fifth floor. Thank you.__EOS__ We've got a new album out actually. And we're going to do a song from the album called ""Any Other Way.""__EOS__  Still remember seeing you standing there alone in a crowded room. Suddenly, your presence fills the air, nothing that I could do. Always knew you were the only one, I never told you so. Thought you'd understand what I had done when I had to let you go...__EOS__ The Zombies, Rod Argent and Colin Blunstone, came together in 1961 to form The Zombies and maybe best known for hits like ""Time of the Season."" Or maybe it would be this one, ""She's Not There.""",2
,,
35," Yeah. Oh, he thought I was the cutest chickie walking around. But he had very bad eyesight. __EOS__ So I think most people know that, you know, he took his life after... __EOS__ Killed himself, yeah. __EOS__ Yeah - and this was not long - it was, like, a few months after your late-night show, which he was producing, on Fox was canceled. And apparently, the network asked him to leave. You opposed that, and then the whole show got canceled. ",1
,,
36," 'Cause you wanted to know, you know, what jazz artists were playing in the city when your team was out of town. When you played the Knicks, for example, you went to Birdland. But I'm interested in the music. Did the music -did you turn to the music in times of trouble? __EOS__ Not really. I just - I was a jazz lover. Don't ask me how I come by being a jazz lover and finished high school in 1946. Everybody else was listening to singing groups, you know. And I just, I mean, you know, Dexter Gordon and Miles Davis and Yusef Lateef and Jimmy Smith, you know. I just took a liking, you know. And in a sense it was an escape. I mean, you got to do something. You know, I tried to going to the late movies. And, you know, the late movies, you know, some strange folks in late movies, you know, drunks, you know. __EOS__ You're on 42nd Street in New York and you get anything, you know. So, I said I better find me another avenue, you know? But I had a good ride. I had a good ride in professional basketball. __EOS__ That's pro basketball Hall of Famer Earl Lloyd. His memoir, written with Sean Kirst and published by Syracuse University Press, is called ""Moonfixer  The Basketball Journey of Earl Lloyd, the first African American to Play with the NBA."" Lloyd joined us from member station WFAE in Charlotte, North Carolina. Thank you so much, Mr. Lloyd. ",0
,,
37,"  Okay. Damien, we're go for explosion. Ready to kick the tires, light the fires on your say-so. Damien, we're go for explosion. __EOS__ I love the idea that you, the special effects man, lost a finger in ""Driving Miss Daisy,"" which isÉ_› __EOS__ É_›which was a special-effects-heavy film, of course. __EOS__ Oh, that's such a slow-moving film about, you know, a driver and a woman that he drives. ",3
,,
38," No. You see...__EOS__ And were tormented and wrestling with their true nature that they couldn't express?__EOS__ No. You never got to that point, but that's because these ended when they did as a popular pop culture form. If these had lasted and thrived into the 1980s, let's say, or certainly the '90s, you would have started to see those stories. But at this point, even the religion question was usually cloaked in these. So there was an issue called ""Different"" in one of the Simon and Kirby books, and they never really say what the different thing is about the guy, but clearly it's that he's Jewish. I mean anybody like me, who's Jewish, could read the story and say, oh, I mean yeah, that's what this is. But they don't come right out and say it because it was 1952.__EOS__ So how did you figure out that this guy was Jewish and that that was his secret?",0
,,
39," The White Mandingos came together at Jenifer's house in Woodstock, where he and Jenkins would hang out and jam. But what they were laying down didn't really add up to anything until Jenkins says his partner thought to call Murs.__EOS__ Once he hit it with the lyrics, it opened up. Like something you may not like, like, wow, I don't understand that. You put some lyrics on it, oh, and then it becomes the best thing there.__EOS__  I sent my demo to the demons up at Warner Brothers. Now they say they want to sign me lying . I know I'm getting got, but  I need a start. I'll renegotiate once I hit the charts. But now I kick back and enjoy the ride. Spend my advance and swallow my pride...__EOS__ Murs made his name over the last 15 years on the independent hip-hop circuit, playing punk and rock festivals. He says all three musicians have never quite fit in.",2
,,
40," Hamed Wardak says that the group has 3,000 members, and you're saying that a group that appears to be this grassroots lobbying group representing Afghan-Americans is really a front group for the special interests of one man or one company or other companies that are - that have similar interests and that interest is in American long-term commitment in Afghanistan, because that will mean the American military will continue to pay this group and other groups like it. __EOS__ That would make sense. But really, you know, ideologies are tough to obviously parse out. You know, often you'll find people - their ideology coincides with whatever helps them financially, right? Or their business tends to work in line of their ideology. So I'm not saying, oh, Hamed Wardak believes this just because he's profiting from it. But what I am saying is the evidence is there that this group, which represents itself as sort of a group of, you know, concerned Afghan-Americans and so on, was set up by one particular high-paid lobbying firm in Washington - Patton Boggs is a law firm in Washington - basically for Hamed Wardak. __EOS__ So what are the implications of that? What does that mean? Does that - do you think that that means that they should not have any influence on Capitol Hill or that they should be taken less seriously... __EOS__ No, no, no. ",0
,,
41," Probably not. __EOS__ Caustic things to say about Tom Hicks. __EOS__ Tom Hicks, I think, sort of broke the mold when he signed Rodriguez to that $253 million dollar deal. I mean that was more money than he paid for the stadium and the franchise, if you can imagine, at that timeÉ_› __EOS__ Mm-hmm. ",0
,,
42," My Journey Through the Valley of the Shadow."" __EOS__ I embraced the diagnosis and started girding myself to die. No disbelief, no anger, no bargaining. In fact, if anything, I walked around in a pink cloud for a day or two, feeling my death, getting used to it. Was my theology working, or was I simply in denial or shock? Looking back, was your theology working or were you in denial or shock? __EOS__ It was working. Every minister spends a lifetime preparing for this exam. The most important work we do is done with families in bereavement. But we really don't know, having given all of this advice and held all of these hands and walked all of these journeys through the valley, how we ourselves are going to respond. And it was a great relief to me that I was able to embrace my death. I sensed that if you've made peace with your life, you can make peace with your death. But if you haven't, it's much more difficult. __EOS__ Okay. So, on the one hand, you feel like you reached acceptance of your death right after your diagnosis, and you kind of entered the zone. ",0
,,
43," And also songs that I've been listening to lately are from Ali Farka Toure because he has been gone for a while now. It's an album of reminiscence for me because I have the chance to have him actually home for dinner one or two months before he passed away. And for me it's really in this hard time, he's the one that I look up to.__EOS__ And, of course, Miriam Makeba is always something that I listen to on a regular basis.__EOS__ She has been my role model. I learned through her how to harmonize and how you can use your voice as a powerful tool to talk about things that are universal that touch everybody. I have ""Pata Pata"" in mind because it's a song that everybody knows, everybody sings to touch each other. And for me in this era of communication, we don't speak to each other much. The technology is a very good invention, but does it bring us more together or does it push us far away from each other?__EOS__ Every Friday and Saturday night, it's Pata Pata time.",3
,,
44,"  To think he wrote this alone.__EOS__   La, la, la, la, la, la, la.__EOS__  Catchy.__EOS__   He loves to sing, la, la, la, la, Elmo's song.",1
,,
45," An example that I found really fascinating, and this is when the Hollywood studios were still trying to maintain some kind of foothold in European markets, including Germany and Italy, MGM had optioned a play by Robert Sherwood, and wanted to adapted it into a movie, and the play was called ""Idiot's Delight."" Describe what the play was and describe how the movie turned out.__EOS__ The play was about a group of tourists who were caught in an Italian hotel, I think, a hotel on the border of Italy, when the Italians had started bombing, I believe it was Paris. I can't remember. But anyway, they were caught there. And the story is about, you know, the interaction between these tourists. And when the play was optioned to make a movie, MGM said it couldn't be Italy because they didn't want to offend Mussolini. And also they couldn't speak Italian because that would offend Mussolini, so they spoke in Esperanto. And...__EOS__ In an unnamed country.__EOS__ In an unnamed country. And this movie had absolutely no connection to the play that Robert Sherwood had written. And he was asked later on if he had a collaborator on this movie. And he said yes, I had one, and that was Mussolini.",3
,,
46," Yes. I was always interested in trying to help our country behave. __EOS__ In 1961, she joined Women Strike for Peace, a group of moms that protested the growing threat of nuclear testing. The group opposed the Vietnam War. And in 1965, while on a trip to Moscow, she took a clandestine side trip to North Vietnam to meet with Vietnamese mothers who also wanted an end to the war. She said she lived a full life as a parent and as citizen engaged in the world around her. __EOS__ The night he died, across the street here at St. Vincent's Hospital, I closed the club that night. Max never asked me to run the club and he asked nobody because he was indomitable, as we all think we are. I closed it for one night, and the next night I opened it. __EOS__ Barry Singer was Gordon's co-writer for her memoir ""Alive at the Village Vanguard."" ",3
,,
47," But you are playing him at that moment. You're the one running down the street in the flip-flops. Is that hard to do - to figure out, how do I this without clowning it too much, without making me a pathetic figure?__EOS__ It would be hard to do if you didn't trust the director. There is a very big difference between doing that for Alexander Payne, and doing that for someone that you don't trust because, you know, the product you're selling out there is you, right? I mean, it's not like, well, here's another set of encyclopedias if you don't like this one. It's you.__EOS__ You've said in interviews that you are starting to transition away from acting - or at least away from a certain kind of part, in a certain kind of movie. What does that mean?__EOS__ Well, I'm not going to do any more films in rubber suits, I've decided. I've learned from ""Batman."" You know, as you get older, the one thing you have to understand as an actor is that change is inevitable, and growing old on screen is not for the faint of heart. You know, there's a certain cruelty to being on a big screen as your - you know, as your eyelids start to sag and your hair falls out and turns gray, that you either have to be able to handle or not. And what you can't do is try to force yourself into roles that you could have played, or would have played, 10 years earlier.",1
,,
48," No problem at all. We're talking to Nicole Hollander. She's the author of ""Tales of Graceful Aging from the Planet Denial."" __EOS__ Sure. What page were you talking about? __EOS__ You know, I'm not even sure because I just made a note of it and I didn't write it down. It's the section about sex andÉ_› __EOS__ Return to lust? ",0
,,
49," So are you thinking maybe you'll, you know, go on a nice, long trip or climb a mountain or something, retire again? __EOS__ Well, I think over the last three years, we've completely transformed the company, and the health of Starbucks, I think, is quite good. But I don't think this is a time to celebrate or run some victory lap. We've got a lot of work to do, and I'm deeply committed to our company and our shareholders and have no intent, in the short term, of leaving. __EOS__ In the short term. __EOS__ In the short term. ",0
,,
50," Tom, you're right. You're going to get a lot of people who disagree with you.__EOS__ Oh, yeah, and I'll be one of them.__EOS__ .__EOS__ And, Tom, this Harvey.",1
,,
51," Yeah, exactly.__EOS__ Snoop Dogg?__EOS__ Yeah, he's like that. And it's just perfect. It's perfect that it's him.__EOS__  Nickel-plated dimes. Bang, bang - blow your mind. Beep, beep - flatline. Gotta get yours. I been - had mine. Hold my hand, laying in the bed. Family crying. They think he dead. No jokes. No hoax. Felt his palm. He had no pulse. Could've been the drink...",2
,,
52," But did FDR give it his blessing because he wanted America to go to war?__EOS__ FDR gave this group his blessing because they were doing his work, which is basically to discredit American isolationists. I don't think quite frankly that he ever really wanted to go to war, certainly in the sense of sending troops to Europe. But he certainly wanted to help England. He certainly wanted to provide them all the aid that he could so that they could survive. And he would do anything he could to discredit those who were working against that.__EOS__ So is there an example of some either dirt that this British group dug up or information that they forged that will show what they were up to?__EOS__ A couple of months before we got into the war, FDR produced a map that he said showed that Latin America was going to be divided up into five German vassal states. In other words, that Germany planned to come over and establish German states in Latin and South America. And he said this map was a German map and proved it. Well, it caused all sorts of great furor in the country. And it turned out actually, that that map was a forgery, that the British had forged it and had slipped it to FDR. There's no sign that FDR knew it was a forgery. He apparently thought it was real, it was accurate, but in fact, it was a forgery of the British.",3
,,
